Date,Open,High,Low,Close,Adj Close,Volume
2012-01-20,131.240005,131.949997,130.919998,131.949997,108.950500,138230200
2012-01-23,131.509995,132.250000,130.979996,131.610001,108.669800,129295800
2012-01-24,130.800003,131.500000,130.600006,131.460007,108.545937,103083300
2012-01-25,131.259995,132.869995,130.750000,132.559998,109.454224,198613200
2012-01-26,133.149994,133.399994,131.360001,131.880005,108.892708,184880500
2012-01-27,131.240005,132.050003,131.149994,131.820007,108.843201,135259100
2012-01-30,130.509995,131.440002,130.059998,131.369995,108.471626,147311800
2012-01-31,132.020004,132.179993,130.679993,131.320007,108.430344,157212000
2012-02-01,132.289993,133.139999,132.130005,132.470001,109.379913,166234500
2012-02-02,132.729996,133.020004,132.210007,132.679993,109.553284,113090400
2012-02-03,134.000000,134.619995,133.770004,134.539993,111.089073,160598500
2012-02-06,133.979996,134.509995,133.830002,134.449997,111.014748,107694500
2012-02-07,134.169998,135.020004,133.639999,134.789993,111.295486,135528100
2012-02-08,134.860001,135.220001,134.309998,135.190002,111.625786,139361400
2012-02-09,135.410004,135.589996,134.559998,135.360001,111.766167,148602900
2012-02-10,134.160004,134.470001,133.839996,134.360001,110.940491,167907500
2012-02-13,135.320007,135.520004,134.740005,135.360001,111.766167,115841900
2012-02-14,135.000000,135.270004,134.250000,135.190002,111.625786,165329500
2012-02-15,135.630005,135.830002,134.289993,134.559998,111.105583,195195100
2012-02-16,134.570007,136.169998,134.330002,136.050003,112.335861,186567800
2012-02-17,136.520004,136.630005,135.960007,136.410004,112.633118,129869400
2012-02-21,136.729996,137.050003,136.050003,136.470001,112.682655,134042300
2012-02-22,136.259995,136.550003,135.789993,136.029999,112.319389,124455300
2012-02-23,135.960007,136.729996,135.500000,136.630005,112.814812,137704300
2012-02-24,136.929993,137.199997,136.630005,136.929993,113.062508,105539100
2012-02-27,136.020004,137.529999,135.800003,137.160004,113.252434,145728900
2012-02-28,137.199997,137.720001,136.929993,137.559998,113.582672,129355900
2012-02-29,137.759995,138.190002,136.539993,137.020004,113.136810,185934700
2012-03-01,137.309998,137.990005,136.929993,137.729996,113.723053,145023500
2012-03-02,137.639999,137.820007,137.000000,137.309998,113.376251,120638300
2012-03-05,137.100006,137.199997,136.279999,136.750000,112.913902,140765000
2012-03-06,135.350006,135.429993,134.360001,134.750000,111.262489,202129900
2012-03-07,135.059998,135.910004,134.929993,135.690002,112.038658,143692200
2012-03-08,136.520004,137.320007,136.240005,137.039993,113.153305,116968900
2012-03-09,137.300003,137.929993,137.130005,137.570007,113.590973,122836800
2012-03-12,137.550003,137.759995,137.089996,137.580002,113.599228,104003500
2012-03-13,138.320007,140.130005,138.089996,140.059998,115.646912,184090500
2012-03-14,140.100006,140.449997,139.479996,139.910004,115.523132,145163600
2012-03-15,140.119995,140.779999,139.759995,140.720001,116.191856,165118500
2012-03-16,140.360001,140.479996,140.000000,140.300003,116.352776,152893500
2012-03-19,140.210007,141.279999,140.110001,140.850006,116.808914,125291100
2012-03-20,140.050003,140.610001,139.639999,140.440002,116.468864,121729700
2012-03-21,140.520004,140.649994,139.919998,140.210007,116.278160,122388400
2012-03-22,139.179993,139.550003,138.740005,139.199997,115.440475,135216700
2012-03-23,139.320007,139.809998,138.550003,139.649994,115.813698,120521000
2012-03-26,140.649994,141.610001,140.600006,141.610001,117.439156,120164000
2012-03-27,141.740005,141.830002,141.080002,141.169998,117.074287,119868500
2012-03-28,141.100006,141.320007,139.639999,140.470001,116.493752,148562100
2012-03-29,139.639999,140.490005,139.089996,140.229996,116.294739,164963700
2012-03-30,140.919998,141.050003,140.050003,140.809998,116.775734,135486800
2012-04-02,140.639999,142.210007,140.360001,141.839996,117.629906,151741100
2012-04-03,141.639999,141.880005,140.429993,141.259995,117.148903,155806700
2012-04-04,140.220001,140.339996,139.339996,139.860001,115.987854,146896000
2012-04-05,139.380005,140.199997,139.259995,139.789993,115.929817,137439400
2012-04-09,138.029999,139.839996,137.839996,138.220001,114.627785,127555900
2012-04-10,137.949997,138.339996,135.759995,135.899994,112.703796,235360300
2012-04-11,137.289993,137.539993,136.750000,137.000000,113.616028,154133000
2012-04-12,137.130005,138.899994,137.029999,138.789993,115.100479,154321500
2012-04-13,138.470001,138.820007,137.009995,137.139999,113.732124,169246700
2012-04-16,137.839996,138.039993,136.580002,137.050003,113.657478,147825300
2012-04-17,137.839996,139.360001,137.699997,139.080002,115.341042,147877600
2012-04-18,138.460007,139.080002,138.380005,138.610001,114.951210,123884200
2012-04-19,138.630005,139.149994,137.070007,137.720001,114.213135,198666700
2012-04-20,138.330002,138.830002,137.869995,137.949997,114.403877,143199600
2012-04-23,136.539993,136.910004,135.940002,136.789993,113.441925,171844900
2012-04-24,136.910004,137.660004,136.800003,137.309998,113.873108,137484200
2012-04-25,138.649994,139.250000,138.529999,139.190002,115.432220,150252200
2012-04-26,138.889999,140.320007,138.809998,140.160004,116.236687,136291600
2012-04-27,140.580002,140.789993,139.800003,140.389999,116.427399,130725000
2012-04-30,140.110001,140.210007,139.490005,139.869995,115.996162,115092200
2012-05-01,139.789993,141.660004,139.630005,140.740005,116.717628,138832200
2012-05-02,139.919998,140.460007,139.460007,140.320007,116.369339,121081000
2012-05-03,140.339996,140.449997,138.990005,139.250000,115.481956,143759700
2012-05-04,138.520004,139.300003,136.919998,137.000000,113.616028,193927300
2012-05-07,136.509995,137.559998,136.460007,137.100006,113.698990,127765900
2012-05-08,136.279999,136.770004,134.919998,136.550003,113.242874,213377700
2012-05-09,135.100006,136.610001,134.490005,135.740005,112.571106,220752500
2012-05-10,136.679993,136.850006,135.710007,136.020004,112.803337,150600000
2012-05-11,135.169998,136.869995,135.110001,135.610001,112.463318,153032400
2012-05-14,134.309998,135.610001,133.910004,134.110001,111.219337,163910000
2012-05-15,134.020004,134.809998,133.130005,133.339996,110.580742,207629300
2012-05-16,133.940002,134.550003,132.800003,132.830002,110.157822,207265500
2012-05-17,132.860001,133.020004,130.789993,130.860001,108.524033,247992900
2012-05-18,131.369995,131.600006,129.550003,129.740005,107.595230,319615900
2012-05-21,130.160004,132.020004,129.949997,131.970001,109.444603,177861100
2012-05-22,132.309998,133.229996,131.339996,132.199997,109.635330,197531200
2012-05-23,131.250000,132.460007,129.990005,132.270004,109.693390,204958400
2012-05-24,132.630005,132.839996,131.419998,132.529999,109.909019,167357600
2012-05-25,132.479996,132.850006,131.779999,132.100006,109.552414,135465600
2012-05-29,133.160004,133.929993,131.169998,133.699997,110.879280,152883500
2012-05-30,132.559998,133.690002,131.490005,131.759995,109.270409,162370400
2012-05-31,131.710007,132.449997,130.339996,131.470001,109.029930,196186000
2012-06-01,129.410004,131.500000,128.160004,128.160004,106.284935,253240900
2012-06-04,128.389999,128.740005,127.139999,128.100006,106.235146,202545800
2012-06-05,127.849998,129.259995,127.779999,129.070007,107.039612,164149400
2012-06-06,129.970001,132.029999,129.929993,131.970001,109.444603,184202800
2012-06-07,133.470001,133.529999,131.779999,132.050003,109.510925,184772700
2012-06-08,131.710007,133.130005,131.289993,133.100006,110.381706,143915400
2012-06-11,134.169998,134.250000,131.279999,131.410004,108.980164,169756100
2012-06-12,131.789993,133.009995,131.160004,132.919998,110.232437,181931800
2012-06-13,132.529999,133.360001,131.619995,132.070007,109.527519,172223900
2012-06-14,132.339996,134.000000,131.979996,133.470001,110.688545,230615500
2012-06-15,133.380005,134.259995,133.100006,134.139999,111.820625,169444500
2012-06-18,133.580002,134.729996,133.279999,134.399994,112.037361,131360900
2012-06-19,135.080002,136.250000,134.369995,135.699997,113.121033,137382600
2012-06-20,135.710007,136.100006,134.270004,135.479996,112.937630,206451800
2012-06-21,135.639999,135.779999,132.330002,132.440002,110.403450,205272200
2012-06-22,133.130005,133.710007,132.619995,133.460007,111.253746,130029200
2012-06-25,132.050003,132.100006,130.850006,131.320007,109.469826,146375700
2012-06-26,131.699997,132.380005,130.929993,131.979996,110.020012,141634000
2012-06-27,132.419998,133.429993,131.970001,133.169998,111.011978,108088000
2012-06-28,132.289993,132.990005,131.279999,132.789993,110.695213,169242100
2012-06-29,135.199997,136.270004,134.850006,136.100006,113.454506,212250900
2012-07-02,136.479996,136.649994,135.520004,136.509995,113.796272,129524500
2012-07-03,136.479996,137.509995,136.339996,137.410004,114.546547,80450000
2012-07-05,136.899994,137.800003,136.289993,136.789993,114.029716,126177500
2012-07-06,135.470001,135.770004,134.850006,135.490005,112.945976,151192100
2012-07-09,135.380005,135.570007,134.699997,135.320007,112.804291,103780500
2012-07-10,136.009995,136.229996,133.679993,134.139999,111.820625,167884800
2012-07-11,134.210007,134.600006,133.380005,134.160004,111.837280,141733400
2012-07-12,133.380005,134.229996,132.600006,133.509995,111.295433,143583200
2012-07-13,133.860001,135.889999,133.839996,135.750000,113.162697,129642600
2012-07-16,135.440002,135.830002,134.899994,135.429993,112.895950,97525200
2012-07-17,135.970001,136.639999,134.550003,136.360001,113.671188,138860300
2012-07-18,136.039993,137.639999,135.960007,137.369995,114.513145,113349700
2012-07-19,137.649994,138.179993,137.210007,137.729996,114.813278,129847300
2012-07-20,136.949997,137.160004,136.320007,136.470001,113.762894,142904500
2012-07-23,134.470001,136.380005,133.839996,135.089996,112.612564,145210900
2012-07-24,135.190002,135.250000,133.029999,133.929993,111.645531,173301200
2012-07-25,134.210007,134.559998,133.250000,133.960007,111.670532,129122300
